"Security Name","Symbol Name","Trade Date","Quantity"
"GRINDWELL","GRINDWELL","19-Mar-2026","16"
"HEALTHCARE GLOB. ENT. LTD","HCG","19-Mar-2026","5511"
"HEXAWARE TECHNOLOGIES LTD","HEXT","19-Mar-2026","899"
"HOMEFIRST","HOMEFIRST","19-Mar-2026","123"
"IIFL HOLDINGS LIMITED","IIFL","19-Mar-2026","1232"
"IPCA LABORATORIES LIMITED","IPCALAB","19-Mar-2026","104"
"JK LAKSHMI CEMENT LTD    ","JKLAKSHMI","19-Mar-2026","64"
"JUPITER WAGONS LIMITED","JWL","19-Mar-2026","1025"
"KEC INTL. LIMITED        ","KEC","19-Mar-2026","104"
"LATENT VIEW ANALYTICS LTD","LATENTVIEW","19-Mar-2026","668"
"LLOYDS METALS N ENERGY L","LLOYDSME","19-Mar-2026","567"
"IRFC","IRFC","19-Mar-2026","17003"
"MINDA CORPORATION LIMITED","MINDACORP","19-Mar-2026","127"
"NCC LIMITED","NCC","19-Mar-2026","1317"
"PRIME FOCUS LIMITED","PFOCUS","19-Mar-2026","6603"
"PRICOL LIMITED","PRICOLLTD","19-Mar-2026","233"
"RAILTEL","RAILTEL","19-Mar-2026","3348"
"RATEGAIN TRAVEL TECHN LTD","RATEGAIN","19-Mar-2026","295"
"RATNAMANI","RATNAMANI","19-Mar-2026","17"
"SHRIRAM PIST. & RING LTD","SHRIPISTON","19-Mar-2026","52"
"STRIDES ARCOLAB LIMITED","STAR","19-Mar-2026","72"
"TAMILNAD MERCA BANK LTD","TMB","19-Mar-2026","171"
"TRIVENI TURBINE LIMITED","TRITURBINE","19-Mar-2026","155"
"WAAREE RENEWABLE TECH LTD","WAAREERTL","19-Mar-2026","1846"
"TEJAS NETWORKS LIMITED","TEJASNET","19-Mar-2026","750"
"KEI INDUSTRIES LTD.      ","KEI","19-Mar-2026","7"
"MANAPPURAM FINANCE LTD","MANAPPURAM","19-Mar-2026","9000"
"MAX FINANCIAL SERV LTD","MFSL","19-Mar-2026","800"
"MAHINDRA & MAHINDRA LTD","M&M","19-Mar-2026","100"
"GLENMARK PHARMACEUTICALS LIMITED","GLENMARK","19-Mar-2026","169"
